"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"6-25","No","No","No","No","I don't know","Very easy","No","No","Maybe","Yes","Yes","No","I don't know","Yes","Maybe","No, I don't think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","I am not sure","No","No","I don't know","Very difficult","Yes","No","No","No","No","No","I don't know","No","Maybe","Maybe","Somewhat open","No Entry","No Entry","Yes","No","No","No","True","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","Yes","I don't know","Neither easy nor difficult","No","No","Maybe","Maybe","I don't know","No","Yes, always","No","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Never","Often","25-35","M","United States of America","United States of America","Sometimes"
"1-5","No","No Entry","No","No","I don't know","Very easy","Maybe","Maybe","No","No","I don't know","Yes","I don't know","No","Maybe","No, I don't think they would","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Romania","Romania","Never"
"More than 1000","Not eligible for coverage / N/A","No","I don't know","I don't know","I don't know","Very easy","No","No","Maybe","Maybe","I don't know","No","Not Applicable","No","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","Yes","No","Yes","Somewhat difficult","Maybe","No","Maybe","Yes","No","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Yes, always","No","No, I don't think it would","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Never","Sometimes","25-35","F","United States of America","United States of America","Sometimes"
"26-100","I don't know","No","No","I don't know","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Yes, I think it would","No, I don't think they would","Very open","No","No Entry","Yes","Yes","Maybe","Yes","True","Often","Often",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","Yes","No","Yes","Somewhat difficult","Yes","No","Yes","Yes","No","Yes","No","No","Maybe","No, they do not","Very open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often",">25","F","United States of America","United States of America","Sometimes"
"100-500","I don't know","I am not sure","No","I don't know","I don't know","I don't know","No","No","Yes","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","Yes","Yes","Yes","False","Never","Rarely","36-45","M","United States of America","United States of America","Sometimes"
"500-1000","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","No","No","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United Kingdom","United Kingdom","Sometimes"
"6-25","No","I am not sure","No","No","I don't know","Somewhat easy","Maybe","Maybe","Yes","Yes","I don't know","No","I don't know","Maybe","Maybe","Maybe","Neutral","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Denmark","Denmark","Sometimes"
"1-5","Not eligible for coverage / N/A","No Entry","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United Kingdom","United Kingdom","Always"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","No","No","I don't know","No","Yes, I think it would","No, I don't think they would","Very open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Not applicable to me","36-45","M","United Kingdom","United Kingdom","Sometimes"
"26-100","I don't know","I am not sure","No","No","I don't know","I don't know","Maybe","No","No","Maybe","No","No","I don't know","No","Yes, I think it would","Maybe","Somewhat not open","Maybe/Not sure","Maybe","Yes","Yes","No","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Never"
"More than 1000","Yes","No","No","I don't know","I don't know","I don't know","No","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Canada","Canada","Always"
"26-100","Yes","No","No","No","I don't know","Very difficult","Yes","No","Maybe","No","I don't know","No","Sometimes","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Yes","Yes","Yes","Yes","No","True","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Not eligible for coverage / N/A","I am not sure","I don't know","I don't know","I don't know","Neither easy nor difficult","Maybe","Maybe","Maybe","No","I don't know","No","I don't know","Yes","Maybe","Maybe","Very open","Yes, I observed","Yes","I don't know","No","Maybe","No","True","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Never"
"More than 1000","Yes","Yes","No","No","Yes","Somewhat difficult","Yes","Yes","No","No","No","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","F","United States of America","United States of America","Sometimes"
"26-100","No","No","No","No","Yes","I don't know","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Yes, it has","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Sometimes","Often","25-35","M","Germany","Germany","Never"
"6-25","No","No Entry","No","No","I don't know","I don't know","Maybe","Maybe","No","No","No","No","I don't know","Yes","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","No","I don't know","I don't know","Very difficult","Maybe","No","Maybe","No","No","No","I don't know","No","Maybe","Maybe","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Always"
"26-100","Yes","No","Yes","No","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Yes, always","No","Yes, I think it would","Maybe","Somewhat not open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Neither easy nor difficult","Maybe","No","Maybe","No","I don't know","No","Not Applicable","No","Yes, I think it would","No, I don't think they would","Somewhat not open","No Entry","No Entry","I don't know","Maybe","Maybe","No","False","Not applicable to me","Sometimes",">25","F","Canada","Canada","Never"
"More than 1000","I don't know","No","No","No","I don't know","Somewhat difficult","Maybe","Maybe","No","No","I don't know","No","I don't know","No","Maybe","Maybe","Not open at all","Maybe/Not sure","Yes","Yes","Yes","Maybe","Yes","True","Sometimes","Often","45<","F","United States of America","United States of America","Sometimes"
"1-5","No","No","No","No","No","Very difficult","Yes","Yes","No","No","I don't know","No","Not Applicable","No","Yes, it has","Yes, they do","Not open at all","No","No Entry","Yes","No","Yes","No","False","Often","Often",">25","M","United States of America","United States of America","Never"
"100-500","Yes","Yes","No","No","I don't know","Somewhat easy","Maybe","No","No","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","No Entry","I don't know","Maybe","Maybe","No","True","Sometimes","Not applicable to me","36-45","M","Spain","Spain","Sometimes"
"26-100","No","No","No","No","I don't know","Somewhat easy","No","No","Maybe","No","I don't know","No","I don't know","No","Maybe","Maybe","Neutral","No","No Entry","No","No","Maybe","No","False","Sometimes","Sometimes","36-45","M","Germany","Germany","Sometimes"
"100-500","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","No","Maybe","Yes","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Yes","No","Yes","I don't know","Yes","Somewhat easy","No","No","Yes","Yes","I don't know","No","I don't know","Maybe","Maybe","No, they do not","Very open","No","No Entry","Yes","Maybe","Yes","No","False","Rarely","Rarely","36-45","M","Netherlands","Netherlands","Never"
"6-25","Yes","I am not sure","No","No","I don't know","I don't know","Maybe","No","No","No","I don't know","No","I don't know","No","Yes, it has","Yes, I think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"1-5","No","I am not sure","No","I don't know","No","Very difficult","Yes","Maybe","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","F","United States of America","United States of America","Sometimes"
"6-25","I don't know","No","No","No","I don't know","Very difficult","Yes","Yes","Maybe","Yes","I don't know","No","Sometimes","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","Maybe","Yes","Maybe","Maybe","No","False","Not applicable to me","Sometimes","25-35","F","United States of America","United States of America","Sometimes"
"More than 1000","No","No","No","I don't know","I don't know","Somewhat difficult","Yes","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","I am not sure","No","Yes","I don't know","Neither easy nor difficult","Maybe","No","No","No","No","No","I don't know","Maybe","Yes, I think it would","Maybe","Somewhat not open","Yes, I experienced","No","I don't know","Yes","Maybe","Yes","True","Rarely","Often",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","No","No","I don't know","No","Not Applicable","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","45<","M","United States of America","United States of America","Sometimes"
"500-1000","Yes","Yes","Yes","Yes","I don't know","Somewhat easy","No","No","Yes","Yes","No","No","I don't know","Maybe","Maybe","No, I don't think they would","Very open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"100-500","Yes","No","No","No","Yes","I don't know","Yes","Yes","No","No","No","Yes","No","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Yes","Yes","Yes","Yes","Yes","True","Often","Often","25-35","O","United States of America","United States of America","Never"
"More than 1000","Yes","I am not sure","I don't know","Yes","Yes","Neither easy nor difficult","Yes","Yes","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"1-5","I don't know","I am not sure","I don't know","No","I don't know","Somewhat easy","Maybe","No","Yes","Yes","Yes","No","Sometimes","Maybe","Maybe","Maybe","Neutral","No Entry","No Entry","I don't know","No","No","No","True","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Always"
"26-100","Yes","Yes","Yes","Yes","Yes","I don't know","No","No","Maybe","Yes","I don't know","No","Yes, always","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Sometimes","36-45","M","United States of America","United States of America","Never"
"More than 1000","I don't know","I am not sure","I don't know","I don't know","I don't know","I don't know","Maybe","No","No","Maybe","I don't know","No","I don't know","Maybe","Yes, I think it would","Maybe","Not applicable to me (I do not have a mental illness)","No","No Entry","No","Yes","No","Yes","True","Not applicable to me","Not applicable to me","36-45","F","United States of America","United States of America","Sometimes"
"100-500","No","No","No","No","I don't know","Neither easy nor difficult","Maybe","Maybe","No","No","I don't know","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","No","I don't know","Yes","Somewhat difficult","Yes","Maybe","No","No","I don't know","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Not open at all","Maybe/Not sure","Maybe","Yes","Yes","Yes","Yes","True","Rarely","Not applicable to me","25-35","F","United States of America","United States of America","Never"
"26-100","I don't know","No","I don't know","I don't know","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Very open","No","No Entry","I don't know","Yes","Yes","Yes","True","Rarely","Often",">25","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","No","Yes","Yes","Very difficult","Yes","Maybe","Maybe","Maybe","No","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","Yes, I experienced","No","Yes","Yes","Maybe","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"100-500","Yes","I am not sure","Yes","No","Yes","Somewhat easy","No","No","Yes","Yes","No","No","I don't know","No","Maybe","No, I don't think they would","Neutral","No","No Entry","Yes","Maybe","Maybe","Yes","True","Sometimes","Often","25-35","M","Germany","Germany","Never"
"100-500","Yes","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","Maybe","Yes","Yes","Yes","No","I don't know","No","No, it has not","No, I don't think they would","Somewhat open","Yes, I experienced","Yes","No","Yes","Yes","Yes","True","Never","Often","45<","M","United States of America","United States of America","Sometimes"
"26-100","Not eligible for coverage / N/A","I am not sure","No","No","I don't know","Somewhat easy","Maybe","No","Yes","Yes","Yes","No","Not Applicable","Maybe","Yes, I think it would","No, I don't think they would","Not applicable to me (I do not have a mental illness)","No Entry","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United Kingdom","United Kingdom","Never"
"More than 1000","No","I am not sure","No","No","I don't know","Somewhat easy","Yes","Maybe","No","No","I don't know","No","I don't know","No","Yes, it has","Maybe","Not open at all","Maybe/Not sure","No Entry","No","Yes","Yes","No","False","Sometimes","Often","36-45","M","Ireland","Ireland","Never"
"26-100","No","Yes","No","No","I don't know","Very difficult","Yes","Maybe","Yes","Maybe","No","Yes","Not Applicable","No","Maybe","Maybe","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Never"
"1-5","I don't know","No","No","I don't know","I don't know","Somewhat difficult","No","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Sometimes","36-45","F","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","I don't know","I don't know","Very difficult","Yes","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","Yes","Yes","Yes","No","True","Not applicable to me","Often","25-35","M","United States of America","United States of America","Always"
"More than 1000","No","No Entry","No","Yes","Yes","Very easy","No","No","Yes","Yes","No","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","Yes, I experienced","No","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United Kingdom","United Kingdom","Sometimes"
"1-5","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","No","No","I don't know","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Not open at all","No","No Entry","I don't know","Yes","Yes","No","False","Sometimes","Sometimes",">25","M","United Kingdom","United Kingdom","Never"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat easy","No","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Not applicable to me (I do not have a mental illness)","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me",">25","F","United Kingdom","United Kingdom","Sometimes"
"More than 1000","I don't know","No","No","No","I don't know","Very easy","No","No","Maybe","Maybe","I don't know","No","No","Maybe","Maybe","No, I don't think they would","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Never"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Neither easy nor difficult","Yes","Maybe","Maybe","No","No","Yes","Not Applicable","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Maybe","Yes","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Sometimes"
"26-100","No","No","No","No","I don't know","Somewhat difficult","Maybe","Maybe","Maybe","Maybe","I don't know","No","Sometimes","Maybe","Maybe","Maybe","Somewhat open","Maybe/Not sure","No Entry","I don't know","Yes","Maybe","Yes","True","Sometimes","Sometimes","36-45","M","United Kingdom","United Kingdom","Never"
"6-25","No","No","No","No","No","Somewhat difficult","Yes","Maybe","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Not open at all","Maybe/Not sure","Yes","No","Yes","Yes","No","False","Not applicable to me","Sometimes","25-35","M","Chile","Chile","Never"
"More than 1000","Yes","Yes","Yes","Yes","I don't know","I don't know","No","No","Maybe","Yes","Yes","Yes","Yes, always","No","Yes, I think it would","Maybe","Somewhat open","Yes, I observed","Yes","No","Yes","Maybe","Yes","True","Rarely","Sometimes","25-35","F","United States of America","United States of America","Never"
"6-25","No","No","I don't know","I don't know","No","Very difficult","Yes","No","Maybe","No","No","No","Sometimes","Maybe","Maybe","Yes, they do","Very open","Yes, I observed","Maybe","I don't know","No","No","No","True","Sometimes","Often","25-35","M","Chile","Chile","Sometimes"
"26-100","No","No Entry","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","No","I don't know","No","Yes, always","No","Maybe","Maybe","Somewhat not open","Yes, I experienced","Maybe","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United Kingdom","United Kingdom","Never"
"6-25","No","No","No","No","I don't know","Neither easy nor difficult","Yes","No","No","Yes","I don't know","No","I don't know","No","Yes, it has","Maybe","Somewhat open","No","No Entry","Yes","Yes","No","Yes","True","Sometimes","Rarely","25-35","F","Chile","Chile","Sometimes"
"More than 1000","I don't know","No","Yes","Yes","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","Yes","Not Applicable","Yes","Yes, I think it would","Yes, I think they would","Somewhat open","No Entry","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","Yes","No","Yes","Yes","Very easy","No","No","No","Yes","I don't know","No","Yes, always","Maybe","No, I don't think it would","No, I don't think they would","Somewhat not open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","F","United States of America","United States of America","Sometimes"
"1-5","No","No","No","No","No","Very easy","No","No","Yes","Yes","Yes","No","No","Maybe","Maybe","No, they do not","Somewhat open","No","No Entry","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Never"
"6-25","I don't know","I am not sure","No","No","I don't know","I don't know","Maybe","No","No","Maybe","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often",">25","M","United States of America","United States of America","Never"
"26-100","No","Yes","No","No","No","Somewhat easy","Maybe","Maybe","No","No","No","No","Sometimes","Maybe","Yes, I think it would","No, I don't think they would","Somewhat open","Maybe/Not sure","No","Yes","Maybe","Maybe","No","False","Not applicable to me","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"6-25","I don't know","No","No","I don't know","I don't know","Somewhat difficult","Maybe","No","Yes","Maybe","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","Maybe/Not sure","No","No","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","F","United States of America","United States of America","Always"
"26-100","Yes","Yes","No","I don't know","I don't know","Very easy","Maybe","No","No","Yes","I don't know","No","I don't know","Yes","No, I don't think it would","No, I don't think they would","Somewhat not open","No","No Entry","No","Yes","Yes","Yes","True","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","No","Yes","Yes","Yes","I don't know","Somewhat difficult","Yes","Yes","No","Maybe","No","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I experienced","Yes","I don't know","No","Yes","Yes","True","Rarely","Often","25-35","F","United Kingdom","United Kingdom","Sometimes"
"100-500","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","Maybe","Maybe","I don't know","No","No","No","Yes, it has","Yes, I think they would","Somewhat open","No","No Entry","I don't know","Yes","Maybe","Yes","True","Not applicable to me","Often","36-45","M","Pakistan","Pakistan","Sometimes"
"6-25","No","No","No","No","Yes","Neither easy nor difficult","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat not open","No","No Entry","No","Yes","Yes","Yes","True","Never","Sometimes",">25","M","United Kingdom","United Kingdom","Never"
"26-100","Yes","Yes","Yes","Yes","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Yes","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"100-500","Yes","Yes","No","Yes","Yes","Somewhat easy","No","No","Yes","Yes","I don't know","No","Sometimes","Maybe","No, I don't think it would","No, I don't think they would","Somewhat open","Maybe/Not sure","No","I don't know","No","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","No","No","I don't know","I don't know","Somewhat easy","Maybe","Maybe","Maybe","Maybe","I don't know","No","Not Applicable","Maybe","No, I don't think it would","No, I don't think they would","Somewhat not open","No","No Entry","I don't know","Maybe","Maybe","No","True","Never","Sometimes",">25","F","United States of America","United States of America","Sometimes"
"100-500","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","No","No","No","I don't know","No","Maybe","No, I don't think they would","Somewhat not open","Yes, I experienced","No Entry","Yes","Yes","Maybe","Yes","True","Sometimes","Often","45<","M","Germany","Germany","Sometimes"
"26-100","Yes","Yes","No","I don't know","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Maybe","I don't know","No","No","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","I don't know","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"26-100","I don't know","I am not sure","No","Yes","Yes","Somewhat difficult","Maybe","Maybe","Maybe","Maybe","No","No","I don't know","No","Maybe","Maybe","Somewhat open","Yes, I experienced","No","No","No","Yes","Yes","True","Often","Often","25-35","M","United States of America","United States of America","Never"
"100-500","I don't know","No","No","No","I don't know","Somewhat easy","Maybe","No","No","No","No","No","Not Applicable","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","No","Yes","No","False","Sometimes","Often",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","No","Yes","I don't know","Somewhat easy","Maybe","No","Maybe","Maybe","Yes","No","Sometimes","No","Yes, it has","Yes, I think they would","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Maybe","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","I don't know","Yes","Yes","Somewhat difficult","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","Yes, I think they would","Somewhat not open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"500-1000","Yes","I am not sure","Yes","Yes","I don't know","Somewhat difficult","Maybe","No","No","Maybe","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","No","Yes","I don't know","Somewhat difficult","Maybe","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Always"
"100-500","Yes","No","No","I don't know","I don't know","I don't know","Yes","Maybe","Maybe","No","I don't know","No","No","No","Maybe","Maybe","Very open","Maybe/Not sure","Yes","Yes","Yes","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","No","I am not sure","No","No","I don't know","Very difficult","Yes","Maybe","No","No","No","Yes","Not Applicable","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","I don't know","Yes","Yes","Yes","True","Sometimes","Often",">25","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","Yes","Yes","I don't know","Very difficult","Maybe","No","No","No","I don't know","Yes","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Maybe","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Never"
"6-25","Not eligible for coverage / N/A","No","No","No","Yes","Neither easy nor difficult","Maybe","No","Yes","No","I don't know","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","No Entry","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","France","France","Sometimes"
"More than 1000","Yes","No","No","Yes","I don't know","I don't know","Yes","No","No","No","I don't know","No","No","No","Yes, I think it would","Yes, I think they would","Not open at all","Yes, I experienced","Maybe","Yes","Yes","Yes","Yes","False","Often","Sometimes",">25","F","Ireland","Ireland","Never"
"26-100","Yes","Yes","No","No","Yes","Neither easy nor difficult","No","No","Maybe","Yes","I don't know","No","Sometimes","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","Maybe","Yes","Maybe","Yes","Yes","True","Sometimes","Sometimes","25-35","F","United States of America","United States of America","Never"
"26-100","Yes","Yes","No","No","I don't know","Very difficult","Maybe","No","Maybe","Maybe","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Yes","Yes","Yes","Maybe","Yes","True","Rarely","Often",">25","F","United States of America","United States of America","Never"
"More than 1000","Yes","No","No","No","I don't know","Somewhat easy","Maybe","No","No","Maybe","No","No","I don't know","No","Maybe","Maybe","Very open","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Never"
"100-500","Not eligible for coverage / N/A","No Entry","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","Yes","Maybe","Maybe","Somewhat open","No","No Entry","No","Yes","Maybe","No","False","Sometimes","Often","25-35","M","Estonia","Estonia","Sometimes"
"26-100","Yes","I am not sure","No","No","I don't know","Somewhat difficult","Maybe","Maybe","No","Maybe","I don't know","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","No","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","No","No","I don't know","I don't know","Maybe","No","No","No","I don't know","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Very open","No","No Entry","No","Yes","Maybe","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Never"
"26-100","I don't know","Yes","No","No","I don't know","Neither easy nor difficult","Maybe","Maybe","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","No","No Entry","I don't know","Maybe","Maybe","Yes","True","Rarely","Rarely","25-35","F","United States of America","United States of America","Always"
"100-500","Yes","I am not sure","Yes","Yes","I don't know","Somewhat easy","Maybe","No","Maybe","Yes","I don't know","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","F","United States of America","United States of America","Sometimes"
