B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,WW,YY,ZZ,AAA,BBB,CCC,DDD,EEE,FFF,GGG,HHH,III,JJJ,LLL
More than 1000,0.0,I don't know,I am not sure,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,No,Yes,Maybe,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Sometimes,Sometimes,37,M,Mexico,No Entry,Mexico,No Entry,DevOps/SysAdmin|Support,Sometimes
6-25,1.0,No,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Yes,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,24,M,United States of America,Minnesota,United States of America,Minnesota,Dev Evangelist/Advocate|DevOps/SysAdmin|Designer|Front-end Developer|Back-end Developer,Sometimes
More than 1000,0.0,I don't know,I am not sure,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No Entry,No Entry,Yes,No,No,N/A,No,N/A,1,Not applicable to me,Not applicable to me,34,F,United States of America,Ohio,United States of America,Ohio,Other,Sometimes
100-500,0.0,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,No,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Never,Often,32,M,United States of America,Minnesota,United States of America,Minnesota,DevOps/SysAdmin|Back-end Developer|Front-end Developer|Designer,Sometimes
1-5,1.0,No,No Entry,No,No,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,Yes,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,"No, I don't think they would",Neutral,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,29,M,Romania,No Entry,Romania,No Entry,Front-end Developer|Back-end Developer,Never
More than 1000,1.0,Not eligible for coverage / N/A,No,I don't know,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,20,M,United States of America,Massachusetts,United States of America,Massachusetts,Other|DevOps/SysAdmin|Back-end Developer,Sometimes
More than 1000,0.0,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Maybe,Maybe,Other,No,N/A,0,Not applicable to me,Not applicable to me,41,M,United States of America,Utah,United States of America,Utah,Supervisor/Team Lead,Sometimes
6-25,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,No,"No, I don't think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Post-traumatic Stress Disorder",1,Never,Sometimes,33,F,United States of America,California,United States of America,California,Dev Evangelist/Advocate,Sometimes
26-100,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"Yes, I think it would","No, I don't think they would",Very open,No,No Entry,Yes,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Often,Often,25,M,United States of America,California,United States of America,California,Back-end Developer|DevOps/SysAdmin,Sometimes
More than 1000,1.0,Yes,I am not sure,Yes,No,Yes,Somewhat difficult,Yes,No,Yes,Yes,No,Yes,1,"No, none did",I was aware of some,None did,None did,No,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Yes,No,Maybe,"No, they do not",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder|Substance Use Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,Sometimes,Often,24,F,United States of America,California,United States of America,California,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes
100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",0,Never,Rarely,39,M,United States of America,Colorado,United States of America,Colorado,Back-end Developer,Sometimes
500-1000,0.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,39,M,United Kingdom,No Entry,United Kingdom,No Entry,Executive Leadership,Sometimes
6-25,1.0,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,31,M,Denmark,No Entry,Denmark,No Entry,Back-end Developer,Sometimes
1-5,1.0,Not eligible for coverage / N/A,No Entry,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Stress Response Syndromes",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",1,Sometimes,Often,37,M,United Kingdom,No Entry,United Kingdom,No Entry,Supervisor/Team Lead|Back-end Developer|One-person shop,Always
6-25,1.0,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","No, I don't think they would",Very open,"Yes, I experienced",No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",1,Sometimes,Not applicable to me,42,M,United Kingdom,No Entry,United Kingdom,No Entry,DevOps/SysAdmin,Sometimes
26-100,0.0,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Maybe,Yes,Yes,No,N/A,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Sometimes,30,M,United States of America,North Carolina,United States of America,North Carolina,Back-end Developer|Front-end Developer,Never
More than 1000,1.0,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,No,I don't know,No,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,30,M,Canada,No Entry,Canada,No Entry,Front-end Developer,Always
26-100,1.0,Yes,No,No,No,I don't know,Very difficult,Yes,No,Maybe,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,1,Not applicable to me,Not applicable to me,33,M,United States of America,Illinois,United States of America,Illinois,Dev Evangelist/Advocate|DevOps/SysAdmin|Back-end Developer,Sometimes
More than 1000,0.0,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",Yes,I don't know,No,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder",No,N/A,1,Not applicable to me,Not applicable to me,31,M,United States of America,Illinois,United States of America,Illinois,Other,Never
More than 1000,0.0,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,Yes,No,No,No,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,None did,"Yes, always","Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,39,F,United States of America,Ohio,United States of America,Ohio,Supervisor/Team Lead|Front-end Developer|Designer,Sometimes
26-100,0.0,No,No,No,No,Yes,I don't know,No,No,Yes,Yes,Yes,No,1,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"Yes, it has","No, I don't think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Sometimes,Often,27,M,Germany,No Entry,Germany,No Entry,Back-end Developer,Never
6-25,1.0,No,No Entry,No,No,I don't know,I don't know,Maybe,Maybe,No,No,No,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Yes,Yes,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,31,M,United States of America,Florida,United States of America,Florida,Support|Front-end Developer|Back-end Developer,Sometimes
More than 1000,1.0,Yes,Yes,No,I don't know,I don't know,Very difficult,Maybe,No,Maybe,No,No,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did",I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,Maybe,Very open,No,No Entry,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,30,F,United States of America,Michigan,United States of America,California,Other|Supervisor/Team Lead,Always
26-100,1.0,Yes,No,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,34,M,United States of America,Ohio,United States of America,Illinois,Back-end Developer,Sometimes
6-25,1.0,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat not open,No Entry,No Entry,I don't know,Maybe,Maybe,"Obsessive-Compulsive Disorder|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Not applicable to me,Sometimes,20,F,Canada,No Entry,Canada,No Entry,Back-end Developer,Never
More than 1000,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Maybe,No,Maybe,Maybe,Not open at all,Maybe/Not sure,Yes,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,50,F,United States of America,Utah,United States of America,Utah,Other,Sometimes
1-5,0.0,No,No,No,No,No,Very difficult,Yes,Yes,No,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, it has","Yes, they do",Not open at all,No,No Entry,Yes,No,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,0,Often,Often,22,M,United States of America,California,United States of America,California,Sales,Never
100-500,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No Entry,I don't know,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,N/A,1,Sometimes,Not applicable to me,41,M,Spain,No Entry,Spain,No Entry,Executive Leadership,Sometimes
26-100,1.0,No,No,No,No,I don't know,Somewhat easy,No,No,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,No Entry,No,No,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Sometimes,Sometimes,37,M,Germany,No Entry,Germany,No Entry,DevOps/SysAdmin,Sometimes
100-500,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,No,Maybe,Yes,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,32,M,United States of America,Texas,United States of America,Texas,Back-end Developer,Sometimes
6-25,1.0,Yes,No,Yes,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, they do not",Very open,No,No Entry,Yes,Maybe,Yes,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,N/A,0,Rarely,Rarely,38,M,Netherlands,No Entry,Netherlands,No Entry,Back-end Developer,Never
6-25,1.0,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, it has","Yes, I think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,27,M,United States of America,Colorado,United States of America,Colorado,Front-end Developer,Sometimes
1-5,0.0,No,I am not sure,No,I don't know,No,Very difficult,Yes,Maybe,No,No,No,No,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder|Substance Use Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder|Substance Use Disorder",1,Rarely,Often,37,F,United States of America,Louisiana,United States of America,Louisiana,Support,Sometimes
6-25,0.0,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Maybe,Yes,Maybe,Maybe,Post-traumatic Stress Disorder,No,N/A,0,Not applicable to me,Sometimes,30,F,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes
More than 1000,1.0,No,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Very open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder",1,Sometimes,Often,21,M,United States of America,Tennessee,United States of America,Tennessee,Other,Sometimes
More than 1000,0.0,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat not open,"Yes, I experienced",No,I don't know,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,21,M,United States of America,Massachusetts,United States of America,New York,Other,Sometimes
More than 1000,0.0,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,46,M,United States of America,Missouri,United States of America,Missouri,DevOps/SysAdmin,Sometimes
500-1000,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,Yes,Yes,Yes,Attention Deficit Hyperactivity Disorder,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Often,28,M,United States of America,California,United States of America,California,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
100-500,0.0,Yes,No,No,No,Yes,I don't know,Yes,Yes,No,No,No,Yes,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,26,O,United States of America,Pennsylvania,United States of America,Pennsylvania,Support|Back-end Developer|Front-end Developer|Designer,Never
More than 1000,1.0,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Yes,Yes,No,No,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,44,M,United States of America,Ohio,United States of America,Ohio,Support,Sometimes
1-5,1.0,I don't know,I am not sure,I don't know,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Yes,Maybe,Maybe,Maybe,Neutral,No Entry,No Entry,I don't know,No,No,N/A,No,N/A,1,Not applicable to me,Not applicable to me,35,F,United States of America,Massachusetts,United States of America,Massachusetts,Front-end Developer,Always
26-100,1.0,Yes,Yes,Yes,Yes,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,39,M,United States of America,Michigan,United States of America,Michigan,Back-end Developer,Never
More than 1000,0.0,I don't know,I am not sure,I don't know,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,No,Yes,No,N/A,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Not applicable to me,Not applicable to me,37,F,United States of America,Connecticut,United States of America,Connecticut,Back-end Developer,Sometimes
100-500,0.0,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,1,I don't know,I was aware of some,None did,None did,I don't know,None of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Maybe,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,35,M,United States of America,Florida,United States of America,Florida,Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|One-person shop,Sometimes
More than 1000,1.0,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Addictive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Not applicable to me,29,F,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Never
26-100,1.0,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Very open,No,No Entry,I don't know,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,21,M,United States of America,Virginia,United States of America,Virginia,Back-end Developer|Front-end Developer,Sometimes
