B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
100-500,True,No,No Entry,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Maybe,I don't know,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,United Kingdom,United Kingdom,Never
More than 1000,False,I don't know,I am not sure,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,No,Yes,Maybe,No,False,Sometimes,Sometimes,Upper Mid Career,M,Mexico,Mexico,Sometimes
6-25,True,No,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Yes,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,False,I don't know,I am not sure,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,True,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No Entry,No Entry,Yes,No,No,No,True,Not applicable to me,Not applicable to me,Lower Mid Career,F,United States of America,United States of America,Sometimes
100-500,False,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,No,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Never,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
1-5,True,No,No Entry,No,No,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,Yes,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,"No, I don't think they would",Neutral,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Romania,Romania,Never
More than 1000,True,Not eligible for coverage / N/A,No,I don't know,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,False,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,True,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,No,"No, I don't think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Never,Sometimes,Lower Mid Career,F,United States of America,United States of America,Sometimes
26-100,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,True,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"Yes, I think it would","No, I don't think they would",Very open,No,No Entry,Yes,Yes,Maybe,Yes,True,Often,Often,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,I am not sure,Yes,No,Yes,Somewhat difficult,Yes,No,Yes,Yes,No,Yes,True,"No, none did",I was aware of some,None did,None did,No,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Yes,No,Maybe,"No, they do not",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,True,Sometimes,Often,Early Career,F,United States of America,United States of America,Sometimes
100-500,True,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,True,Some did,I was aware of some,Some did,Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,Yes,Yes,Yes,False,Never,Rarely,Upper Mid Career,M,United States of America,United States of America,Sometimes
500-1000,False,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,No,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United Kingdom,United Kingdom,Sometimes
6-25,True,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Denmark,Denmark,Sometimes
1-5,True,Not eligible for coverage / N/A,No Entry,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,True,Sometimes,Often,Upper Mid Career,M,United Kingdom,United Kingdom,Always
6-25,True,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","No, I don't think they would",Very open,"Yes, I experienced",No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Not applicable to me,Upper Mid Career,M,United Kingdom,United Kingdom,Sometimes
26-100,False,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,No,True,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Maybe,Yes,Yes,No,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Never
More than 1000,True,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,No,I don't know,No,True,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Canada,Canada,Always
26-100,True,Yes,No,No,No,I don't know,Very difficult,Yes,No,Maybe,No,I don't know,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,No,True,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,False,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,I don't know,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",Yes,I don't know,No,Maybe,No,True,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Never
More than 1000,False,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,Yes,No,No,No,No,True,"Yes, they all did","Yes, I was aware of all of them",Some did,None did,"Yes, always","Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,True,Sometimes,Often,Upper Mid Career,F,United States of America,United States of America,Sometimes
26-100,False,No,No,No,No,Yes,I don't know,No,No,Yes,Yes,Yes,No,True,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"Yes, it has","No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Sometimes,Often,Lower Mid Career,M,Germany,Germany,Never
6-25,True,No,No Entry,No,No,I don't know,I don't know,Maybe,Maybe,No,No,No,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Yes,Yes,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,Yes,No,I don't know,I don't know,Very difficult,Maybe,No,Maybe,No,No,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did",I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,Maybe,Very open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,F,United States of America,United States of America,Always
26-100,True,Yes,No,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,True,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat not open,No Entry,No Entry,I don't know,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Early Career,F,Canada,Canada,Never
More than 1000,True,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,True,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Maybe,No,Maybe,Maybe,Not open at all,Maybe/Not sure,Yes,Yes,Yes,Maybe,Yes,True,Sometimes,Often,Late Career,F,United States of America,United States of America,Sometimes
1-5,False,No,No,No,No,No,Very difficult,Yes,Yes,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, it has","Yes, they do",Not open at all,No,No Entry,Yes,No,Yes,No,False,Often,Often,Early Career,M,United States of America,United States of America,Never
100-500,True,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No Entry,I don't know,Maybe,Maybe,No,True,Sometimes,Not applicable to me,Upper Mid Career,M,Spain,Spain,Sometimes
26-100,True,No,No,No,No,I don't know,Somewhat easy,No,No,Maybe,No,I don't know,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,No Entry,No,No,Maybe,No,False,Sometimes,Sometimes,Upper Mid Career,M,Germany,Germany,Sometimes
100-500,True,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,No,Maybe,Yes,No,True,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,Yes,No,Yes,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, they do not",Very open,No,No Entry,Yes,Maybe,Yes,No,False,Rarely,Rarely,Upper Mid Career,M,Netherlands,Netherlands,Never
6-25,True,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,True,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, it has","Yes, I think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
1-5,False,No,I am not sure,No,I don't know,No,Very difficult,Yes,Maybe,No,No,No,No,True,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,True,Rarely,Often,Upper Mid Career,F,United States of America,United States of America,Sometimes
6-25,False,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Maybe,Yes,I don't know,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Maybe,Yes,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Lower Mid Career,F,United States of America,United States of America,Sometimes
More than 1000,True,No,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Very open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,False,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,No,True,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat not open,"Yes, I experienced",No,I don't know,Yes,Maybe,Yes,True,Rarely,Often,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,False,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,No,No,No,No,False,Not applicable to me,Not applicable to me,Late Career,M,United States of America,United States of America,Sometimes
500-1000,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,No,True,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
100-500,False,Yes,No,No,No,Yes,I don't know,Yes,Yes,No,No,No,Yes,True,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,True,Often,Often,Lower Mid Career,O,United States of America,United States of America,Never
More than 1000,True,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Yes,Yes,No,No,I don't know,No,True,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
1-5,True,I don't know,I am not sure,I don't know,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,True,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Yes,Maybe,Maybe,Maybe,Neutral,No Entry,No Entry,I don't know,No,No,No,True,Not applicable to me,Not applicable to me,Lower Mid Career,F,United States of America,United States of America,Always
26-100,True,Yes,Yes,Yes,Yes,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,True,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Sometimes,Upper Mid Career,M,United States of America,United States of America,Never
More than 1000,False,I don't know,I am not sure,I don't know,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,No,Yes,No,Yes,True,Not applicable to me,Not applicable to me,Upper Mid Career,F,United States of America,United States of America,Sometimes
100-500,False,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,True,I don't know,I was aware of some,None did,None did,I don't know,None of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Maybe,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,True,Rarely,Not applicable to me,Lower Mid Career,F,United States of America,United States of America,Never
26-100,True,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Very open,No,No Entry,I don't know,Yes,Yes,Yes,True,Rarely,Often,Early Career,M,United States of America,United States of America,Sometimes
26-100,True,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,True,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Maybe,Yes,True,Sometimes,Often,Lower Mid Career,F,United States of America,United States of America,Sometimes
100-500,True,Yes,I am not sure,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Neutral,No,No Entry,Yes,Maybe,Maybe,Yes,True,Sometimes,Often,Lower Mid Career,M,Germany,Germany,Never
100-500,False,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,No,True,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"No, it has not","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,No,Yes,Yes,Yes,True,Never,Often,Late Career,M,United States of America,United States of America,Sometimes
26-100,True,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No Entry,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,M,United Kingdom,United Kingdom,Never
More than 1000,True,No,I am not sure,No,No,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, it has",Maybe,Not open at all,Maybe/Not sure,No Entry,No,Yes,Yes,No,False,Sometimes,Often,Upper Mid Career,M,Ireland,Ireland,Never
26-100,False,No,Yes,No,No,I don't know,Very difficult,Yes,Maybe,Yes,Maybe,No,Yes,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,Maybe,Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,F,United States of America,United States of America,Never
1-5,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Very open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Sometimes,Upper Mid Career,F,United States of America,United States of America,Sometimes
100-500,True,Yes,Yes,No,I don't know,I don't know,Very difficult,Yes,No,No,No,I don't know,No,True,Some did,"No, I only became aware later",Some did,Some did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,No,True,Not applicable to me,Often,Lower Mid Career,M,United States of America,United States of America,Always
More than 1000,False,No,No Entry,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United Kingdom,United Kingdom,Sometimes
1-5,True,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,No Entry,I don't know,Yes,Yes,No,False,Sometimes,Sometimes,Early Career,M,United Kingdom,United Kingdom,Never
6-25,True,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,F,United Kingdom,United Kingdom,Sometimes
More than 1000,False,I don't know,No,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,True,Some did,"Yes, I was aware of all of them",Some did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United Kingdom,United Kingdom,Never
6-25,True,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,Yes,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Maybe,Yes,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United Kingdom,United Kingdom,Sometimes
26-100,True,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,True,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No Entry,I don't know,Yes,Maybe,Yes,True,Sometimes,Sometimes,Upper Mid Career,M,United Kingdom,United Kingdom,Never
6-25,True,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,True,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Yes,No,Yes,Yes,No,False,Not applicable to me,Sometimes,Lower Mid Career,M,Chile,Chile,Never
More than 1000,False,Yes,Yes,Yes,Yes,I don't know,I don't know,No,No,Maybe,Yes,Yes,Yes,True,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,Maybe,Yes,True,Rarely,Sometimes,Lower Mid Career,F,United States of America,United States of America,Never
6-25,True,No,No,I don't know,I don't know,No,Very difficult,Yes,No,Maybe,No,No,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"Yes, they do",Very open,"Yes, I observed",Maybe,I don't know,No,No,No,True,Sometimes,Often,Lower Mid Career,M,Chile,Chile,Sometimes
